unix_timestamp,price_eur_per_mwh
1704063600,0.1
1704067200,0.01
1704070800,0.0
1704074400,-0.01
1704078000,-0.03
1704081600,-0.02
1704085200,-0.05
1704088800,-0.02
1704092400,0.0
1704096000,0.04
1704099600,0.06
1704103200,0.54
1704106800,2.24
1704110400,1.96
1704114000,1.04
1704117600,3.66
1704121200,43.06
1704124800,49.93
1704128400,58.0
1704132000,54.25
1704135600,48.01
1704139200,42.95
1704142800,47.09
1704146400,35.55
1704150000,30.59
1704153600,20.07
1704157200,31.03
1704160800,18.39
1704164400,11.08
1704168000,13.78
1704171600,47.63
1704175200,58.1
1704178800,65.67
1704182400,64.73
1704186000,68.98
1704189600,73.54
1704193200,78.16
1704196800,78.87
1704200400,79.24
1704204000,79.96
1704207600,83.46
1704211200,80.92
1704214800,74.95
1704218400,63.18
1704222000,57.11
1704225600,46.89
1704229200,40.0
1704232800,7.43
1704236400,-0.08
1704240000,-1.23
1704243600,-1.3
1704247200,-1.31
1704250800,-1.31
1704254400,-1.38
1704258000,1.09
1704261600,40.59
1704265200,59.61
1704268800,60.61
1704272400,57.0
1704276000,54.89
1704279600,53.89
1704283200,54.42
1704286800,60.86
1704290400,67.18
1704294000,73.59
1704297600,82.28
1704301200,82.97
1704304800,79.03
1704308400,73.23
1704312000,67.41
1704315600,65.0
1704319200,58.12
1704322800,57.3
1704326400,50.46
1704330000,40.0
1704333600,25.48
1704337200,35.0
1704340800,57.73
1704344400,72.65
1704348000,85.02
1704351600,91.47
1704355200,94.2
1704358800,91.61
1704362400,90.03
1704366000,86.3
1704369600,85.96
1704373200,92.11
1704376800,98.62
1704380400,105.73
1704384000,133.23
1704387600,144.65
1704391200,125.0
1704394800,103.59
1704398400,100.01
1704402000,94.86
1704405600,88.83
1704409200,86.08
1704412800,80.51
1704416400,77.01
1704420000,73.21
1704423600,74.05
1704427200,76.03
1704430800,81.0
1704434400,87.0
1704438000,89.57
1704441600,94.93
1704445200,96.28
1704448800,98.22
1704452400,92.24
1704456000,91.54
1704459600,96.41
1704463200,100.05
1704466800,102.97
1704470400,107.38
1704474000,108.45
1704477600,103.96
1704481200,100.09
1704484800,94.19
1704488400,94.92
1704492000,86.8
1704495600,82.25
1704499200,80.2
1704502800,76.13
1704506400,73.01
1704510000,73.01
1704513600,74.59
1704517200,75.1
1704520800,81.39
1704524400,88.4
1704528000,92.23
1704531600,97.3
1704535200,100.43
1704538800,99.16
1704542400,95.22
1704546000,92.55
1704549600,95.09
1704553200,99.85
1704556800,104.27
1704560400,103.63
1704564000,99.0
1704567600,92.14
1704571200,88.0
1704574800,86.57
1704578400,79.87
1704582000,84.08
1704585600,79.82
1704589200,76.76
1704592800,73.46
1704596400,71.86
1704600000,72.08
1704603600,74.9
1704607200,77.69
1704610800,81.79
1704614400,84.86
1704618000,87.15
1704621600,89.14
1704625200,88.66
1704628800,84.81
1704632400,84.34
1704636000,88.01
1704639600,93.42
1704643200,101.77
1704646800,104.85
1704650400,103.55
1704654000,100.5
1704657600,93.31
1704661200,91.17
1704664800,83.86
1704668400,87.02
1704672000,84.32
1704675600,81.82
1704679200,79.11
1704682800,78.48
1704686400,82.1
1704690000,94.3
1704693600,111.1
1704697200,121.11
1704700800,117.83
1704704400,110.6
1704708000,103.0
1704711600,95.5
1704715200,92.6
1704718800,100.0
1704722400,107.98
1704726000,116.87
1704729600,129.13
1704733200,130.01
1704736800,122.12
1704740400,114.21
1704744000,102.83
1704747600,99.98
1704751200,91.49
1704754800,88.16
1704758400,87.04
1704762000,85.0
1704765600,84.14
1704769200,85.72
1704772800,89.28
1704776400,108.51
1704780000,124.06
1704783600,133.24
1704787200,120.91
1704790800,113.19
1704794400,105.78
1704798000,100.22
1704801600,100.82
1704805200,110.89
1704808800,119.4
1704812400,127.85
1704816000,137.84
1704819600,137.8
1704823200,130.43
1704826800,120.24
1704830400,111.68
1704834000,106.18
1704837600,97.09
1704841200,89.29
1704844800,86.76
1704848400,86.73
1704852000,86.09
1704855600,86.3
1704859200,89.05
1704862800,108.88
1704866400,126.29
1704870000,141.28
1704873600,130.39
1704877200,118.56
1704880800,109.13
1704884400,102.21
1704888000,105.61
1704891600,112.91
1704895200,123.8
1704898800,134.64
1704902400,143.79
1704906000,140.0
1704909600,132.15
1704913200,120.0
1704916800,109.76
1704920400,104.49
1704924000,96.03
1704927600,91.75
1704931200,88.59
1704934800,87.25
1704938400,82.38
1704942000,81.95
1704945600,89.36
1704949200,102.07
1704952800,116.86
1704956400,141.0
1704960000,129.16
1704963600,113.65
1704967200,106.48
1704970800,99.38
1704974400,99.0
1704978000,105.98
1704981600,117.96
1704985200,137.35
1704988800,150.09
1704992400,136.69
1704996000,132.31
1704999600,117.88
1705003200,107.19
1705006800,100.0
1705010400,97.22
1705014000,91.04
1705017600,88.22
1705021200,85.22
1705024800,84.63
1705028400,84.34
1705032000,85.32
1705035600,92.11
1705039200,118.16
1705042800,140.74
1705046400,134.96
1705050000,122.01
1705053600,114.73
1705057200,106.98
1705060800,103.08
1705064400,104.54
1705068000,110.0
1705071600,120.0
1705075200,127.5
1705078800,126.0
1705082400,119.47
1705086000,108.79
1705089600,98.48
1705093200,93.37
1705096800,85.38
1705100400,90.0
1705104000,85.0
1705107600,82.0
1705111200,78.47
1705114800,75.0
1705118400,74.92
1705122000,78.1
1705125600,82.22
1705129200,85.26
1705132800,75.11
1705136400,74.21
1705140000,72.72
1705143600,70.35
1705147200,63.67
1705150800,67.91
1705154400,68.61
1705158000,70.78
1705161600,74.22
1705165200,75.81
1705168800,73.82
1705172400,73.06
1705176000,70.93
1705179600,64.3
1705183200,63.16
1705186800,64.02
1705190400,62.11
1705194000,62.93
1705197600,64.01
1705201200,64.67
1705204800,65.2
1705208400,67.31
1705212000,71.66
1705215600,76.74
1705219200,81.14
1705222800,80.63
1705226400,81.84
1705230000,80.39
1705233600,77.04
1705237200,79.15
1705240800,82.32
1705244400,86.62
1705248000,91.86
1705251600,96.97
1705255200,88.91
1705258800,81.0
1705262400,78.6
1705266000,75.39
1705269600,67.19
1705273200,67.9
1705276800,65.0
1705280400,63.94
1705284000,62.04
1705287600,62.04
1705291200,69.25
1705294800,79.95
1705298400,83.84
1705302000,99.3
1705305600,100.29
1705309200,94.88
1705312800,90.26
1705316400,83.86
1705320000,82.15
1705323600,84.5
1705327200,89.44
1705330800,97.52
1705334400,106.46
1705338000,112.8
1705341600,110.38
1705345200,102.42
1705348800,91.78
1705352400,89.49
1705356000,86.43
1705359600,81.45
1705363200,81.07
1705366800,79.92
1705370400,78.19
1705374000,76.97
1705377600,81.45
1705381200,94.07
1705384800,114.77
1705388400,144.11
1705392000,138.6
1705395600,122.0
1705399200,110.0
1705402800,103.43
1705406400,94.98
1705410000,96.0
1705413600,110.25
1705417200,111.39
1705420800,128.15
1705424400,127.31
1705428000,111.77
1705431600,95.49
1705435200,86.21
1705438800,82.04
1705442400,77.69
1705446000,71.61
1705449600,71.52
1705453200,70.69
1705456800,69.74
1705460400,69.47
1705464000,71.06
1705467600,75.09
1705471200,84.39
1705474800,96.5
1705478400,106.16
1705482000,110.33
1705485600,111.1
1705489200,117.71
1705492800,121.7
1705496400,121.74
1705500000,125.46
1705503600,128.56
1705507200,140.52
1705510800,123.59
1705514400,114.28
1705518000,109.8
1705521600,101.09
1705525200,94.28
1705528800,84.17
1705532400,81.33
1705536000,77.2
1705539600,75.29
1705543200,74.91
1705546800,77.57
1705550400,81.0
1705554000,91.44
1705557600,111.55
1705561200,125.89
1705564800,122.17
1705568400,110.9
1705572000,107.95
1705575600,93.55
1705579200,87.62
1705582800,86.43
1705586400,94.25
1705590000,99.52
1705593600,104.68
1705597200,103.26
1705600800,94.53
1705604400,86.97
1705608000,83.12
1705611600,80.93
1705615200,73.61
1705618800,70.58
1705622400,66.95
1705626000,65.63
1705629600,62.76
1705633200,63.32
1705636800,67.47
1705640400,77.94
1705644000,87.17
1705647600,104.27
1705651200,103.06
1705654800,95.15
1705658400,86.36
1705662000,76.83
1705665600,73.35
1705669200,75.21
1705672800,77.45
1705676400,84.69
1705680000,93.6
1705683600,91.7
1705687200,82.23
1705690800,74.0
1705694400,71.12
1705698000,68.64
1705701600,64.75
1705705200,66.0
1705708800,63.45
1705712400,63.54
1705716000,61.82
1705719600,61.85
1705723200,61.75
1705726800,62.59
1705730400,66.9
1705734000,74.82
1705737600,77.9
1705741200,71.8
1705744800,70.77
1705748400,67.73
1705752000,68.78
1705755600,73.39
1705759200,79.11
1705762800,87.8
1705766400,94.93
1705770000,99.87
1705773600,91.57
1705777200,81.97
1705780800,75.74
1705784400,74.68
1705788000,69.13
1705791600,66.83
1705795200,57.55
1705798800,55.15
1705802400,50.89
1705806000,48.51
1705809600,47.45
1705813200,45.53
1705816800,43.96
1705820400,51.36
1705824000,54.36
1705827600,46.06
1705831200,48.67
1705834800,38.48
1705838400,37.69
1705842000,44.3
1705845600,49.04
1705849200,49.83
1705852800,56.65
1705856400,61.45
1705860000,58.64
1705863600,51.5
1705867200,52.46
1705870800,50.39
1705874400,39.46
1705878000,36.66
1705881600,22.24
1705885200,18.62
1705888800,5.04
1705892400,5.06
1705896000,20.0
1705899600,40.5
1705903200,60.47
1705906800,66.48
1705910400,57.58
1705914000,61.55
1705917600,60.6
1705921200,56.92
1705924800,56.72
1705928400,58.23
1705932000,59.73
1705935600,59.99
1705939200,70.94
1705942800,77.35
1705946400,71.99
1705950000,66.65
1705953600,57.0
1705957200,55.89
1705960800,49.88
1705964400,16.23
1705968000,10.1
1705971600,9.37
1705975200,4.17
1705978800,10.22
1705982400,39.23
1705986000,59.76
1705989600,76.42
1705993200,69.82
1705996800,69.93
1706000400,59.97
1706004000,59.8
1706007600,59.14
1706011200,59.43
1706014800,62.7
1706018400,74.63
1706022000,78.95
1706025600,81.59
1706029200,84.51
1706032800,74.55
1706036400,61.95
1706040000,53.74
1706043600,45.36
1706047200,33.26
1706050800,3.05
1706054400,-0.03
1706058000,-0.64
1706061600,-4.41
1706065200,-4.84
1706068800,-0.18
1706072400,14.76
1706076000,42.09
1706079600,51.58
1706083200,50.76
1706086800,50.1
1706090400,50.78
1706094000,39.32
1706097600,36.44
1706101200,45.04
1706104800,49.95
1706108400,50.8
1706112000,54.21
1706115600,53.32
1706119200,50.09
1706122800,42.18
1706126400,40.04
1706130000,42.01
1706133600,38.53
1706137200,44.34
1706140800,45.06
1706144400,43.34
1706148000,44.92
1706151600,46.22
1706155200,52.38
1706158800,69.1
1706162400,77.65
1706166000,91.87
1706169600,87.97
1706173200,83.95
1706176800,78.66
1706180400,74.95
1706184000,77.86
1706187600,87.07
1706191200,93.91
1706194800,102.46
1706198400,123.38
1706202000,115.54
1706205600,98.79
1706209200,91.07
1706212800,86.31
1706216400,80.43
1706220000,75.16
1706223600,62.8
1706227200,62.0
1706230800,58.49
1706234400,57.73
1706238000,57.07
1706241600,52.16
1706245200,59.37
1706248800,71.12
1706252400,76.59
1706256000,70.58
1706259600,61.61
1706263200,59.14
1706266800,52.28
1706270400,46.47
1706274000,49.28
1706277600,50.11
1706281200,52.74
1706284800,60.7
1706288400,58.75
1706292000,64.96
1706295600,58.78
1706299200,62.02
1706302800,59.58
1706306400,57.08
1706310000,55.5
1706313600,55.03
1706317200,56.21
1706320800,55.05
1706324400,55.74
1706328000,56.83
1706331600,59.07
1706335200,65.91
1706338800,75.29
1706342400,72.56
1706346000,60.06
1706349600,56.61
1706353200,55.84
1706356800,53.88
1706360400,59.72
1706364000,72.44
1706367600,83.62
1706371200,93.37
1706374800,95.95
1706378400,92.53
1706382000,84.42
1706385600,76.07
1706389200,75.97
1706392800,72.7
1706396400,66.77
1706400000,60.92
1706403600,59.65
1706407200,59.94
1706410800,61.4
1706414400,64.11
1706418000,60.53
1706421600,59.64
1706425200,59.63
1706428800,55.08
1706432400,51.16
1706436000,45.75
1706439600,41.58
1706443200,40.09
1706446800,50.65
1706450400,56.41
1706454000,68.87
1706457600,77.84
1706461200,71.93
1706464800,69.88
1706468400,68.25
1706472000,57.17
1706475600,59.43
1706479200,56.0
1706482800,49.97
1706486400,47.26
1706490000,48.12
1706493600,47.97
1706497200,51.58
1706500800,60.06
1706504400,80.0
1706508000,93.57
1706511600,99.17
1706515200,88.39
1706518800,78.9
1706522400,71.27
1706526000,70.24
1706529600,74.99
1706533200,82.55
1706536800,97.6
1706540400,108.43
1706544000,127.42
1706547600,117.3
1706551200,107.52
1706554800,91.98
1706558400,86.79
1706562000,83.42
1706565600,80.29
