unix_timestamp_ms,fcr_price_eur_per_mw_4h
1704668400000,7.35
1704672000000,81.33
1704675600000,105.55
1704679200000,111.63
1704682800000,180.6
1704686400000,46.55
1704690000000,22.98
1704693600000,58.88
1704697200000,340.8
1704700800000,284.93
1704704400000,434.8
1704708000000,736.88
1704711600000,312.9
1704715200000,1126.4
1704718800000,1011.5
1704722400000,315.38
1704726000000,143.0
1704729600000,1468.6
1704733200000,889.4
1704736800000,392.03
1704740400000,341.63
1704744000000,309.15
1704747600000,321.05
1704751200000,107.5
1704754800000,182.68
1704758400000,516.43
1704762000000,820.05
1704765600000,642.33
1704769200000,31.25
1704772800000,249.88
1704776400000,360.08
1704780000000,86.4
1704783600000,272.25
1704787200000,605.23
1704790800000,528.85
1704794400000,63.03
1704798000000,66.2
1704801600000,58.85
1704805200000,108.48
1704808800000,65.3
1704812400000,89.78
1704816000000,178.1
1704819600000,333.45
1704823200000,194.95
1704826800000,178.27
1704830400000,766.15
1704834000000,985.05
1704837600000,1158.28
1704841200000,527.8
1704844800000,1061.08
1704848400000,430.25
1704852000000,495.25
1704855600000,391.4
1704859200000,411.6
1704862800000,549.15
1704866400000,320.05
1704870000000,772.75
1704873600000,718.97
1704877200000,536.6
1704880800000,1050.2
1704884400000,574.78
1704888000000,1315.32
1704891600000,876.95
1704895200000,411.03
1704898800000,266.4
1704902400000,335.23
1704906000000,365.1
1704909600000,1421.07
1704913200000,752.33
1704916800000,478.33
1704920400000,424.4
1704924000000,376.1
1704927600000,22.65
1704931200000,183.42
1704934800000,246.25
1704938400000,191.53
1704942000000,152.68
1704945600000,317.73
1704949200000,598.7
1704952800000,565.4
1704956400000,194.88
1704960000000,435.7
1704963600000,429.53
1704967200000,365.75
1704970800000,1176.28
1704974400000,850.2
1704978000000,687.55
1704981600000,621.63
1704985200000,200.08
1704988800000,83.55
1704992400000,462.43
1704996000000,911.25
1704999600000,1564.15
1705003200000,392.3
1705006800000,0.0
1705010400000,352.78
1705014000000,26.83
1705017600000,37.23
1705021200000,19.97
1705024800000,0.0
1705028400000,0.13
1705032000000,23.63
1705035600000,59.15
1705039200000,1085.05
1705042800000,274.45
1705046400000,529.38
1705050000000,639.73
1705053600000,783.2
1705057200000,666.03
1705060800000,590.9
1705064400000,538.33
1705068000000,410.18
1705071600000,522.23
1705075200000,426.78
1705078800000,786.7
1705082400000,1052.0
1705086000000,1049.85
1705089600000,1182.83
